country,type,weekday,year,month,day,localtime,timeofday
usa,Atmospheric,Saturday,1958,6,28,12:30:00,Afternoon
usa,Atmospheric,Sunday,1958,6,29,17:00:00,Afternoon
usa,Atmospheric,Tuesday,1958,7,1,11:30:00,Morning
usa,Atmospheric,Wednesday,1958,7,2,10:30:00,Morning
usa,Atmospheric,Saturday,1958,7,5,11:30:00,Morning
usa,Atmospheric,Saturday,1958,7,12,20:30:00,Evening
usa,Atmospheric,Monday,1958,7,14,21:00:00,Evening
usa,Atmospheric,Thursday,1958,7,17,16:00:00,Afternoon
usa,Atmospheric,Tuesday,1958,7,22,13:30:00,Afternoon
usa,Atmospheric,Tuesday,1958,7,22,21:20:00,Evening
usa,Atmospheric,Saturday,1958,7,26,13:30:00,Afternoon
usa,Atmospheric,Friday,1958,8,1,3:50:06,Night
usa,Atmospheric,Wednesday,1958,8,6,19:15:00,Evening
usa,Atmospheric,Tuesday,1958,8,12,3:30:09,Night
usa,Atmospheric,Monday,1958,8,18,21:00:00,Evening
usa,Atmospheric,Wednesday,1958,8,27,19:28:00,Evening
usa,Atmospheric,Saturday,1958,8,30,20:18:00,Evening
usa,Atmospheric,Saturday,1958,9,6,15:13:00,Afternoon
usa,Underground,Friday,1958,9,12,13:00:00,Afternoon
usa,Underground,Wednesday,1958,9,17,12:30:00,Afternoon
usa,Atmospheric,Friday,1958,9,19,7:00:00,Morning
usa,Underground,Sunday,1958,9,21,12:00:00,Afternoon
usa,Underground,Tuesday,1958,9,23,15:00:00,Afternoon
usa,Underground,Friday,1958,9,26,13:00:00,Afternoon
usa,Underground,Sunday,1958,9,28,17:00:00,Afternoon
usa,Atmospheric,Monday,1958,9,29,6:05:00,Morning
usa,Atmospheric,Sunday,1958,10,5,6:10:00,Morning
usa,Underground,Sunday,1958,10,5,8:15:00,Morning
usa,Underground,Wednesday,1958,10,8,14:00:00,Afternoon
usa,Atmospheric,Friday,1958,10,10,6:30:00,Morning
usa,Atmospheric,Monday,1958,10,13,5:20:00,Night
usa,Underground,Tuesday,1958,10,14,10:00:00,Morning
usa,Atmospheric,Wednesday,1958,10,15,8:00:00,Morning
usa,Atmospheric,Thursday,1958,10,16,6:20:00,Morning
usa,Underground,Thursday,1958,10,16,22:00:00,Evening
usa,Atmospheric,Friday,1958,10,17,15:00:00,Afternoon
usa,Atmospheric,Saturday,1958,10,18,6:25:00,Morning
usa,Underground,Monday,1958,10,20,6:30:00,Morning
usa,Atmospheric,Wednesday,1958,10,22,5:30:00,Night
usa,Atmospheric,Wednesday,1958,10,22,8:50:00,Morning
usa,Atmospheric,Wednesday,1958,10,22,12:30:00,Afternoon
usa,Atmospheric,Wednesday,1958,10,22,15:40:00,Afternoon
usa,Atmospheric,Friday,1958,10,24,7:00:00,Morning
usa,Atmospheric,Friday,1958,10,24,8:01:00,Morning
usa,Atmospheric,Sunday,1958,10,26,2:20:00,Night
usa,Atmospheric,Sunday,1958,10,26,8:00:00,Morning
usa,Atmospheric,Sunday,1958,10,26,20:00:00,Evening
usa,Atmospheric,Monday,1958,10,27,6:30:00,Morning
usa,Atmospheric,Wednesday,1958,10,29,3:20:00,Night
usa,Atmospheric,Wednesday,1958,10,29,6:45:00,Morning
usa,Underground,Wednesday,1958,10,29,16:00:00,Afternoon
usa,Atmospheric,Thursday,1958,10,30,3:00:00,Night
usa,Underground,Thursday,1958,10,30,7:00:00,Morning
usa,Atmospheric,Thursday,1958,10,30,12:34:00,Afternoon
usa,Atmospheric,Thursday,1958,10,30,19:00:00,Evening
usa,Underground,Friday,1961,9,15,10:00:00,Morning
usa,Underground,Saturday,1961,9,16,12:45:00,Afternoon
usa,Underground,Sunday,1961,10,1,13:30:00,Afternoon
usa,Underground,Tuesday,1961,10,10,10:00:00,Morning
usa,Underground,Sunday,1961,10,29,10:30:00,Morning
usa,Underground,Sunday,1961,12,3,15:05:00,Afternoon
usa,Underground,Sunday,1961,12,10,11:00:00,Morning
usa,Underground,Wednesday,1961,12,13,10:00:00,Morning
usa,Underground,Sunday,1961,12,17,8:35:00,Morning
usa,Underground,Friday,1961,12,22,8:30:00,Morning
usa,Underground,Tuesday,1962,1,9,8:30:00,Morning
usa,Underground,Thursday,1962,1,18,10:00:00,Morning
usa,Underground,Tuesday,1962,1,30,10:00:00,Morning
usa,Underground,Thursday,1962,2,8,10:00:00,Morning
usa,Underground,Friday,1962,2,9,8:30:00,Morning
usa,Underground,Thursday,1962,2,15,10:00:00,Morning
usa,Underground,Monday,1962,2,19,8:30:00,Morning
usa,Underground,Monday,1962,2,19,9:50:00,Morning
usa,Underground,Friday,1962,2,23,10:00:00,Morning
usa,Crater,Saturday,1962,2,24,8:30:00,Morning
usa,Underground,Monday,1962,3,5,10:15:00,Morning
usa,Underground,Tuesday,1962,3,6,8:30:00,Morning
usa,Underground,Thursday,1962,3,8,10:00:00,Morning
usa,Underground,Thursday,1962,3,15,8:30:00,Morning
usa,Underground,Wednesday,1962,3,28,10:00:00,Morning
usa,Underground,Saturday,1962,3,31,10:00:00,Morning
usa,Underground,Thursday,1962,4,5,10:00:00,Morning
usa,Underground,Friday,1962,4,6,10:00:00,Morning
usa,Underground,Thursday,1962,4,12,10:00:00,Morning
usa,Underground,Saturday,1962,4,14,10:00:00,Morning
usa,Underground,Saturday,1962,4,21,10:40:00,Morning
usa,Atmospheric,Wednesday,1962,4,25,7:46:00,Morning
usa,Atmospheric,Friday,1962,4,27,8:02:00,Morning
usa,Underground,Friday,1962,4,27,10:00:00,Morning
usa,Atmospheric,Wednesday,1962,5,2,11:02:00,Morning
usa,Atmospheric,Friday,1962,5,4,12:05:00,Afternoon
usa,Atmospheric,Sunday,1962,5,6,16:30:00,Afternoon
usa,Underground,Monday,1962,5,7,12:33:00,Afternoon
usa,Atmospheric,Tuesday,1962,5,8,11:01:00,Morning
usa,Atmospheric,Wednesday,1962,5,9,10:01:00,Morning
usa,Underground,Thursday,1962,5,10,8:00:00,Morning
usa,Atmospheric,Friday,1962,5,11,8:37:00,Morning
usa,Underwater,Friday,1962,5,11,13:02:06,Afternoon
usa,Atmospheric,Saturday,1962,5,12,10:03:00,Morning
usa,Underground,Saturday,1962,5,12,12:00:00,Afternoon
usa,Atmospheric,Monday,1962,5,14,8:22:00,Morning
usa,Underground,Saturday,1962,5,19,8:00:00,Morning
usa,Atmospheric,Saturday,1962,5,19,8:37:00,Morning
usa,Underground,Friday,1962,5,25,8:00:00,Morning
usa,Atmospheric,Friday,1962,5,25,9:09:00,Morning
usa,Atmospheric,Sunday,1962,5,27,10:03:00,Morning
usa,Underground,Friday,1962,6,1,10:00:00,Morning
usa,Underground,Wednesday,1962,6,6,10:00:00,Morning
usa,Atmospheric,Friday,1962,6,8,10:03:00,Morning
usa,Atmospheric,Saturday,1962,6,9,8:37:00,Morning
usa,Atmospheric,Sunday,1962,6,10,10:01:00,Morning
usa,Atmospheric,Tuesday,1962,6,12,8:37:00,Morning
usa,Underground,Wednesday,1962,6,13,14:00:00,Afternoon
usa,Atmospheric,Friday,1962,6,15,9:01:00,Morning
usa,Atmospheric,Sunday,1962,6,17,9:01:00,Morning
usa,Atmospheric,Tuesday,1962,6,19,8:01:00,Morning
usa,Underground,Thursday,1962,6,21,10:00:00,Morning
usa,Atmospheric,Friday,1962,6,22,9:01:00,Morning
usa,Atmospheric,Wednesday,1962,6,27,8:19:00,Morning
usa,Underground,Wednesday,1962,6,27,11:00:00,Morning
usa,Underground,Thursday,1962,6,28,10:00:00,Morning
usa,Atmospheric,Saturday,1962,6,30,8:21:00,Morning
usa,Underground,Saturday,1962,6,30,14:30:00,Afternoon
usa,Crater,Friday,1962,7,6,10:00:00,Morning
usa,Atmospheric,Saturday,1962,7,7,12:00:00,Afternoon
usa,Atmospheric,Monday,1962,7,9,2:00:00,Night
usa,Atmospheric,Tuesday,1962,7,10,9:33:00,Morning
usa,Atmospheric,Wednesday,1962,7,11,8:37:00,Morning
usa,Crater,Wednesday,1962,7,11,9:45:00,Morning
usa,Underground,Friday,1962,7,13,9:00:00,Morning
usa,Atmospheric,Saturday,1962,7,14,11:30:00,Morning
usa,Atmospheric,Tuesday,1962,7,17,10:00:00,Morning
usa,Underground,Friday,1962,7,27,14:00:00,Afternoon
usa,Underground,Friday,1962,8,24,8:00:00,Morning
usa,Underground,Friday,1962,8,24,10:00:00,Morning
usa,Underground,Thursday,1962,9,6,10:00:00,Morning
usa,Underground,Friday,1962,9,14,10:10:00,Morning
usa,Underground,Thursday,1962,9,20,10:00:00,Morning
usa,Underground,Saturday,1962,9,29,10:00:00,Morning
usa,Atmospheric,Tuesday,1962,10,2,9:18:00,Morning
usa,Underground,Friday,1962,10,5,10:00:00,Morning
usa,Atmospheric,Saturday,1962,10,6,9:03:00,Morning
usa,Underground,Friday,1962,10,12,8:00:00,Morning
usa,Underground,Friday,1962,10,12,10:00:00,Morning
usa,Underground,Thursday,1962,10,18,8:00:00,Morning
usa,Atmospheric,Thursday,1962,10,18,9:01:00,Morning
usa,Underground,Friday,1962,10,19,11:00:00,Morning
usa,Atmospheric,Saturday,1962,10,20,0:30:00,Night
usa,Atmospheric,Friday,1962,10,26,1:59:00,Night
usa,Underground,Saturday,1962,10,27,8:00:00,Morning
usa,Atmospheric,Saturday,1962,10,27,8:46:00,Morning
usa,Atmospheric,Tuesday,1962,10,30,8:02:00,Morning
usa,Atmospheric,Thursday,1962,11,1,3:10:00,Night
usa,Atmospheric,Sunday,1962,11,4,22:30:00,Evening
usa,Underground,Friday,1962,11,9,10:00:00,Morning
usa,Underground,Thursday,1962,11,15,8:30:00,Morning
usa,Underground,Tuesday,1962,11,27,10:00:00,Morning
usa,Underground,Tuesday,1962,12,4,8:00:00,Morning
usa,Underground,Wednesday,1962,12,12,9:25:00,Morning
usa,Underground,Wednesday,1962,12,12,10:45:00,Morning
usa,Underground,Friday,1962,12,14,10:00:00,Morning
usa,Underground,Friday,1963,2,8,8:00:00,Morning
usa,Underground,Friday,1963,2,8,8:00:01,Morning
usa,Underground,Friday,1963,2,8,10:30:00,Morning
usa,Underground,Friday,1963,2,8,10:30:00,Morning
usa,Underground,Friday,1963,2,15,9:00:00,Morning
usa,Underground,Thursday,1963,2,21,11:47:00,Morning
usa,Underground,Thursday,1963,2,21,11:47:09,Morning
usa,Underground,Friday,1963,3,1,11:00:00,Morning
usa,Underground,Friday,1963,3,15,8:22:53,Morning
usa,Underground,Friday,1963,3,29,7:49:00,Morning
usa,Underground,Friday,1963,4,5,9:52:00,Morning
usa,Underground,Wednesday,1963,4,10,8:01:30,Morning
usa,Underground,Thursday,1963,4,11,8:03:00,Morning
usa,Underground,Wednesday,1963,4,24,8:09:30,Morning
usa,Underground,Wednesday,1963,4,24,8:09:30,Morning
usa,Underground,Thursday,1963,5,9,11:19:00,Morning
usa,Atmospheric,Wednesday,1963,5,15,2:55:00,Night
usa,Underground,Friday,1963,5,17,7:55:00,Morning
usa,Underground,Friday,1963,5,17,7:55:00,Morning
usa,Underground,Wednesday,1963,5,22,8:40:00,Morning
usa,Atmospheric,Saturday,1963,5,25,4:17:00,Night
usa,Underground,Wednesday,1963,5,29,8:03:30,Morning
usa,Atmospheric,Friday,1963,5,31,3:47:00,Night
usa,Underground,Wednesday,1963,6,5,10:00:00,Morning
usa,Underground,Thursday,1963,6,6,7:00:00,Morning
usa,Underground,Thursday,1963,6,6,9:58:00,Morning
usa,Atmospheric,Sunday,1963,6,9,3:30:00,Night
usa,Underground,Friday,1963,6,14,7:10:00,Morning
usa,Underground,Tuesday,1963,6,25,16:00:00,Afternoon
usa,Underground,Monday,1963,8,12,16:45:00,Afternoon
usa,Underground,Thursday,1963,8,15,6:00:00,Morning
usa,Underground,Friday,1963,8,23,6:20:00,Morning
usa,Underground,Friday,1963,8,23,6:20:00,Morning
usa,Underground,Friday,1963,9,13,6:53:00,Morning
usa,Underground,Friday,1963,9,13,10:00:00,Morning
usa,Underground,Friday,1963,9,27,7:20:00,Morning
usa,Underground,Friday,1963,9,27,10:30:00,Morning
usa,Underground,Friday,1963,10,11,7:00:00,Morning
usa,Underground,Friday,1963,10,11,14:00:00,Afternoon
usa,Underground,Wednesday,1963,10,16,10:00:00,Morning
usa,Underground,Thursday,1963,10,17,8:00:00,Morning
usa,Underground,Saturday,1963,10,26,10:00:00,Morning
usa,Underground,Thursday,1963,11,14,8:00:00,Morning
usa,Underground,Friday,1963,11,15,7:00:00,Morning
usa,Underground,Friday,1963,11,22,9:30:00,Morning
usa,Underground,Wednesday,1963,12,4,8:38:30,Morning
usa,Underground,Wednesday,1963,12,4,8:38:30,Morning
usa,Underground,Thursday,1963,12,12,8:02:00,Morning
usa,Underground,Friday,1963,12,20,7:24:00,Morning
usa,Underground,Thursday,1964,1,16,8:00:00,Morning
usa,Underground,Thursday,1964,1,23,8:00:00,Morning
usa,Underground,Thursday,1964,1,30,8:00:00,Morning
usa,Underground,Wednesday,1964,2,12,7:38:00,Morning
usa,Underground,Thursday,1964,2,13,7:30:00,Morning
usa,Underground,Tuesday,1964,2,18,7:37:19,Morning
usa,Underground,Tuesday,1964,2,18,7:37:37,Morning
usa,Underground,Thursday,1964,2,20,7:30:00,Morning
usa,Underground,Thursday,1964,3,12,7:00:00,Morning
usa,Underground,Friday,1964,3,13,8:02:00,Morning
usa,Underground,Tuesday,1964,4,14,6:40:00,Morning
usa,Underground,Wednesday,1964,4,15,6:30:00,Morning
usa,Underground,Friday,1964,4,17,7:29:52,Morning
usa,Underground,Friday,1964,4,24,12:10:00,Afternoon
usa,Underground,Wednesday,1964,4,29,13:47:00,Afternoon
usa,Underground,Thursday,1964,5,7,6:00:00,Morning
usa,Underground,Thursday,1964,5,14,7:40:00,Morning
usa,Underground,Friday,1964,5,15,9:15:00,Morning
usa,Underground,Thursday,1964,6,11,9:45:00,Morning
usa,Underground,Friday,1964,6,12,7:01:00,Morning
usa,Underground,Thursday,1964,6,18,6:30:00,Morning
usa,Underground,Thursday,1964,6,25,6:30:00,Morning
usa,Underground,Tuesday,1964,6,30,6:33:00,Morning
usa,Underground,Thursday,1964,7,16,6:15:00,Morning
usa,Underground,Thursday,1964,7,23,6:30:00,Morning
usa,Underground,Friday,1964,7,24,11:30:00,Morning
usa,Underground,Wednesday,1964,8,19,9:00:00,Morning
usa,Underground,Saturday,1964,8,22,15:17:00,Afternoon
usa,Underground,Thursday,1964,8,27,7:30:00,Morning
usa,Underground,Friday,1964,8,28,10:06:00,Morning
usa,Underground,Friday,1964,9,4,11:15:00,Morning
usa,Underground,Friday,1964,9,11,7:00:00,Morning
usa,Underground,Friday,1964,10,2,13:03:00,Afternoon
usa,Underground,Friday,1964,10,9,7:00:00,Morning
usa,Underground,Friday,1964,10,16,8:59:30,Morning
usa,Underground,Friday,1964,10,16,8:59:30,Morning
usa,Underground,Thursday,1964,10,22,9:00:00,Morning
usa,Underground,Friday,1964,10,23,8:00:01,Morning
usa,Underground,Saturday,1964,10,31,9:04:59,Morning
usa,Underground,Thursday,1964,11,5,7:00:00,Morning
usa,Underground,Saturday,1964,12,5,13:15:00,Afternoon
usa,Underground,Saturday,1964,12,5,13:15:00,Afternoon
usa,Underground,Saturday,1964,12,5,13:15:00,Afternoon
usa,Underground,Wednesday,1964,12,16,12:00:00,Afternoon
usa,Underground,Wednesday,1964,12,16,12:00:00,Afternoon
usa,Underground,Wednesday,1964,12,16,12:00:00,Afternoon
usa,Underground,Wednesday,1964,12,16,12:10:00,Afternoon
usa,Underground,Friday,1964,12,18,11:35:00,Morning
usa,Underground,Thursday,1965,1,14,8:00:00,Morning
usa,Underground,Friday,1965,1,29,10:22:00,Morning
usa,Underground,Thursday,1965,2,4,7:30:00,Morning
usa,Underground,Friday,1965,2,12,7:10:29,Morning
usa,Underground,Tuesday,1965,2,16,9:30:00,Morning
usa,Underground,Thursday,1965,2,18,8:18:47,Morning
usa,Underground,Friday,1965,2,19,7:28:54,Morning
usa,Underground,Wednesday,1965,3,3,11:13:00,Morning
usa,Underground,Saturday,1965,3,20,7:30:49,Morning
usa,Underground,Friday,1965,3,26,7:34:08,Morning
usa,Underground,Monday,1965,4,5,13:00:00,Afternoon
usa,Crater,Wednesday,1965,4,14,5:14:00,Night
usa,Underground,Wednesday,1965,4,21,14:00:00,Afternoon
usa,Underground,Thursday,1965,4,22,5:39:00,Night
usa,Underground,Friday,1965,4,23,13:44:00,Afternoon
usa,Underground,Friday,1965,5,7,8:47:11,Morning
usa,Underground,Wednesday,1965,5,12,11:15:00,Morning
usa,Underground,Friday,1965,5,14,7:57:52,Morning
usa,Underground,Friday,1965,5,14,10:32:36,Morning
usa,Underground,Friday,1965,5,21,6:08:52,Morning
usa,Underground,Friday,1965,6,11,12:45:00,Afternoon
usa,Underground,Friday,1965,6,11,13:28:37,Afternoon
usa,Underground,Wednesday,1965,6,16,9:30:00,Morning
usa,Underground,Thursday,1965,6,17,10:00:00,Morning
usa,Underground,Friday,1965,7,16,6:04:24,Morning
usa,Underground,Thursday,1965,7,22,6:21:08,Morning
usa,Underground,Friday,1965,7,23,10:00:00,Morning
usa,Underground,Friday,1965,8,6,10:23:30,Morning
usa,Underground,Saturday,1965,8,21,6:43:08,Morning
usa,Underground,Friday,1965,8,27,6:51:13,Morning
usa,Underground,Wednesday,1965,9,1,13:08:00,Afternoon
usa,Underground,Wednesday,1965,9,1,13:08:00,Afternoon
usa,Underground,Friday,1965,9,17,8:08:23,Morning
usa,Underground,Friday,1965,10,29,14:00:00,Afternoon
usa,Underground,Friday,1965,11,12,10:00:00,Morning
usa,Underground,Tuesday,1965,11,23,10:17:32,Morning
