date,closing-amount
7/3/1952,25.05
7/7/1952,24.97
7/8/1952,24.96
7/9/1952,24.86
7/10/1952,24.81
7/11/1952,24.98
7/14/1952,25.03
7/15/1952,25.16
7/16/1952,25.16
7/17/1952,25.05
7/18/1952,24.85
7/21/1952,24.95
7/22/1952,25
7/23/1952,25.11
7/24/1952,25.24
7/25/1952,25.16
7/28/1952,25.2
7/29/1952,25.26
7/30/1952,25.37
7/31/1952,25.4
8/1/1952,25.45
8/4/1952,25.43
8/5/1952,25.46
8/6/1952,25.44
8/7/1952,25.52
8/8/1952,25.55
8/11/1952,25.52
8/12/1952,25.31
8/13/1952,25.28
8/14/1952,25.28
8/15/1952,25.2
8/18/1952,24.94
8/19/1952,24.89
8/20/1952,24.95
8/21/1952,24.98
8/22/1952,24.99
8/25/1952,24.87
8/26/1952,24.83
8/27/1952,24.94
8/28/1952,24.97
8/29/1952,25.03
9/2/1952,25.15
9/3/1952,25.25
9/4/1952,25.24
9/5/1952,25.21
9/8/1952,25.11
9/9/1952,24.86
9/10/1952,24.69
9/11/1952,24.72
9/12/1952,24.71
9/15/1952,24.45
9/16/1952,24.53
9/17/1952,24.58
9/18/1952,24.51
9/19/1952,24.57
9/22/1952,24.59
9/23/1952,24.7
9/24/1952,24.79
9/25/1952,24.81
9/26/1952,24.73
9/29/1952,24.68
9/30/1952,24.54
10/1/1952,24.48
10/2/1952,24.52
10/3/1952,24.5
10/6/1952,24.44
10/7/1952,24.4
10/8/1952,24.58
10/9/1952,24.57
10/10/1952,24.55
10/14/1952,24.48
10/15/1952,24.06
10/16/1952,23.91
10/17/1952,24.2
10/20/1952,24.13
10/21/1952,24.07
10/22/1952,23.8
10/23/1952,23.87
10/24/1952,24.03
10/27/1952,24.09
10/28/1952,24.13
10/29/1952,24.15
10/30/1952,24.15
10/31/1952,24.52
11/3/1952,24.6
11/5/1952,24.67
11/6/1952,24.77
11/7/1952,24.78
11/10/1952,24.77
11/12/1952,24.65
11/13/1952,24.71
11/14/1952,24.75
11/17/1952,24.8
11/18/1952,25.16
11/19/1952,25.33
11/20/1952,25.28
11/21/1952,25.27
11/24/1952,25.42
11/25/1952,25.36
11/26/1952,25.52
11/28/1952,25.66
12/1/1952,25.68
12/2/1952,25.74
12/3/1952,25.71
12/4/1952,25.61
12/5/1952,25.62
12/8/1952,25.76
12/9/1952,25.93
12/10/1952,25.98
12/11/1952,25.96
12/12/1952,26.04
12/15/1952,26.04
12/16/1952,26.07
12/17/1952,26.04
12/18/1952,26.03
12/19/1952,26.15
12/22/1952,26.3
12/23/1952,26.19
12/24/1952,26.21
12/26/1952,26.25
12/29/1952,26.4
12/30/1952,26.59
12/31/1952,26.57
1/2/1953,26.54
1/5/1953,26.66
1/6/1953,26.48
1/7/1953,26.37
1/8/1953,26.33
1/9/1953,26.08
1/12/1953,25.86
1/13/1953,26.02
1/14/1953,26.08
1/15/1953,26.13
1/16/1953,26.02
1/19/1953,26.01
1/20/1953,26.14
1/21/1953,26.09
1/22/1953,26.12
1/23/1953,26.07
1/26/1953,26.02
1/27/1953,26.05
1/28/1953,26.13
1/29/1953,26.2
1/30/1953,26.38
2/2/1953,26.51
2/3/1953,26.54
2/4/1953,26.42
2/5/1953,26.15
2/6/1953,26.51
2/9/1953,25.69
2/10/1953,25.62
2/11/1953,25.64
2/13/1953,25.74
2/16/1953,25.65
2/17/1953,25.5
2/18/1953,25.48
2/19/1953,25.57
2/20/1953,25.63
2/24/1953,25.75
2/25/1953,25.91
2/26/1953,25.95
2/27/1953,25.9
3/2/1953,25.93
3/3/1953,26
3/4/1953,25.78
3/5/1953,25.79
3/6/1953,25.84
3/9/1953,25.83
3/10/1953,25.91
3/11/1953,26.12
3/12/1953,26.13
3/13/1953,26.18
3/16/1953,26.22
3/17/1953,26.33
3/18/1953,26.24
3/19/1953,26.22
3/20/1953,26.18
3/23/1953,26.02
3/24/1953,26.17
3/25/1953,26.1
3/26/1953,25.95
3/27/1953,25.99
3/30/1953,25.61
3/31/1953,25.29
4/1/1953,25.25
4/2/1953,25.23
4/6/1953,24.61
4/7/1953,24.71
4/8/1953,24.93
4/9/1953,24.88
4/10/1953,24.82
4/13/1953,24.77
4/14/1953,24.86
4/15/1953,24.96
4/16/1953,24.91
4/17/1953,24.62
4/20/1953,24.73
4/21/1953,24.67
4/22/1953,24.46
4/23/1953,24.19
4/24/1953,24.2
4/27/1953,24.34
4/28/1953,24.52
4/29/1953,24.68
4/30/1953,24.62
5/1/1953,24.73
5/4/1953,25
5/5/1953,25.03
5/6/1953,25
5/7/1953,24.9
5/8/1953,24.9
5/11/1953,24.91
5/12/1953,24.74
5/13/1953,24.71
5/14/1953,24.85
5/15/1953,24.84
5/18/1953,24.75
5/19/1953,24.7
5/20/1953,24.93
5/21/1953,25.06
5/22/1953,25.03
5/25/1953,24.99
5/26/1953,24.87
5/27/1953,24.64
5/28/1953,24.46
5/29/1953,24.54
6/1/1953,24.15
6/2/1953,24.22
6/3/1953,24.18
6/4/1953,24.03
6/5/1953,24.09
6/8/1953,24.01
6/9/1953,23.6
6/10/1953,23.54
6/11/1953,23.75
6/12/1953,23.82
6/15/1953,23.62
6/16/1953,23.55
6/17/1953,23.85
6/18/1953,23.84
6/19/1953,23.84
6/22/1953,23.96
6/23/1953,24.12
6/24/1953,24.09
6/25/1953,24.19
6/26/1953,24.21
6/29/1953,24.14
6/30/1953,24.14
7/1/1953,24.24
7/2/1953,24.31
7/3/1953,24.36
7/6/1953,24.38
7/7/1953,24.51
7/8/1953,24.5
7/9/1953,24.43
7/10/1953,24.41
7/13/1953,24.17
7/14/1953,24.08
7/15/1953,24.15
7/16/1953,24.18
7/17/1953,24.35
7/20/1953,24.22
7/21/1953,24.16
7/22/1953,24.19
7/23/1953,24.23
7/24/1953,24.23
7/27/1953,24.07
7/28/1953,24.11
7/29/1953,24.26
7/30/1953,24.49
7/31/1953,24.75
8/3/1953,24.84
8/4/1953,24.78
8/5/1953,24.68
8/6/1953,24.8
8/7/1953,24.78
8/10/1953,24.75
8/11/1953,24.72
8/12/1953,24.78
8/13/1953,24.73
8/14/1953,24.62
8/17/1953,24.56
8/18/1953,24.46
8/19/1953,24.31
8/20/1953,24.29
8/21/1953,24.35
8/24/1953,24.09
8/25/1953,23.93
8/26/1953,23.86
8/27/1953,23.79
8/28/1953,23.74
8/31/1953,23.32
9/1/1953,23.42
9/2/1953,23.56
9/3/1953,23.51
9/4/1953,23.57
9/8/1953,23.61
9/9/1953,23.65
9/10/1953,23.41
9/11/1953,23.14
9/14/1953,22.71
9/15/1953,22.9
9/16/1953,23.01
9/17/1953,23.07
9/18/1953,22.95
9/21/1953,22.88
9/22/1953,23.2
9/23/1953,23.23
9/24/1953,23.24
9/25/1953,23.3
9/28/1953,23.45
9/29/1953,23.49
9/30/1953,23.35
10/1/1953,23.49
10/2/1953,23.59
10/5/1953,23.48
10/6/1953,23.39
10/7/1953,23.58
10/8/1953,23.62
10/9/1953,23.66
10/13/1953,23.57
10/14/1953,23.68
10/15/1953,23.95
10/16/1953,24.14
10/19/1953,24.16
10/20/1953,24.17
10/21/1953,24.19
10/22/1953,24.3
10/23/1953,24.35
10/26/1953,24.31
10/27/1953,24.26
10/28/1953,24.29
10/29/1953,24.58
10/30/1953,24.54
11/2/1953,24.66
11/4/1953,24.51
11/5/1953,24.64
11/6/1953,24.61
11/9/1953,24.66
11/10/1953,24.37
11/12/1953,24.46
11/13/1953,24.54
11/16/1953,24.38
11/17/1953,24.25
11/18/1953,24.29
11/19/1953,24.4
11/20/1953,24.44
11/23/1953,24.36
11/24/1953,24.5
11/25/1953,24.52
11/27/1953,24.66
11/30/1953,24.76
12/1/1953,24.78
12/2/1953,24.95
12/3/1953,24.97
