country,date,type,shot,yield,iodine131-released
usa,9/26/1958,Underground,Valencia,0,0
usa,9/28/1958,Underground,Mars,0,0
usa,9/29/1958,Atmospheric,Mora,2,340
usa,10/5/1958,Atmospheric,Hidalgo,0,11
usa,10/5/1958,Underground,Colfax,0,0
usa,10/8/1958,Underground,Tamalpais,0,0
usa,10/10/1958,Atmospheric,Quay,0,11
usa,10/13/1958,Atmospheric,Lea,1,240
usa,10/14/1958,Underground,Neptune,0,0
usa,10/15/1958,Atmospheric,Hamilton,0,0
usa,10/16/1958,Underground,Logan,5,0
usa,10/16/1958,Atmospheric,Dona Ana,0,6
usa,10/17/1958,Atmospheric,Vesta,0,4
usa,10/18/1958,Atmospheric,Rio Arriba,0,120
usa,10/20/1958,Underground,San Juan,0,0
usa,10/22/1958,Atmospheric,Socorro,6,1000
usa,10/22/1958,Atmospheric,Wrangell,0,17
usa,10/22/1958,Atmospheric,Oberon,0,0
usa,10/22/1958,Atmospheric,Rushmore,0,17
usa,10/24/1958,Atmospheric,Catron,0,4
usa,10/24/1958,Atmospheric,Juno,0,0
usa,10/26/1958,Atmospheric,Ceres,0,0
usa,10/26/1958,Atmospheric,Sanford,5,750
usa,10/26/1958,Atmospheric,De Baca,2,380
usa,10/27/1958,Atmospheric,Chavez,0,0
usa,10/29/1958,Underground,Evans,0,0
usa,10/29/1958,Atmospheric,Mazama,0,0
usa,10/29/1958,Atmospheric,Humboldt,0,0
usa,10/30/1958,Atmospheric,Santa Fe,1,220
usa,10/30/1958,Atmospheric,Ganymede,0,0
usa,10/30/1958,Underground,Blanca,22,1
usa,10/30/1958,Atmospheric,Titania,0,0
usa,9/15/1961,Underground,Antler,3,0
usa,9/16/1961,Underground,Shrew,0,0
usa,10/1/1961,Underground,Boomer,0,0
usa,10/10/1961,Underground,Chena,0,0
usa,10/29/1961,Underground,Mink,0,0
usa,12/3/1961,Underground,Fisher,13,0
usa,12/10/1961,Underground,Gnome,3,0
usa,12/13/1961,Underground,Mad,1,0
usa,12/17/1961,Underground,Ringtail,20,0
usa,12/22/1961,Underground,Feather,0,0
usa,1/9/1962,Underground,Stoat,5,0
usa,1/18/1962,Underground,Agouti,6,0
usa,1/30/1962,Underground,Dormouse,10,0
usa,2/8/1962,Underground,Stillwater,3,0
usa,2/9/1962,Underground,Armadillo,7,0
usa,2/15/1962,Underground,Hard Hat,6,0
usa,2/19/1962,Underground,Chinchilla I,2,0
usa,2/19/1962,Underground,Codsaw,2,0
usa,2/23/1962,Underground,Cimarron,12,0
usa,2/24/1962,Crater,Platypus,0,0
usa,3/5/1962,Underground,Danny Boy,0,73
usa,3/6/1962,Underground,Ermine,0,0
usa,3/8/1962,Underground,Brazos,8,0
usa,3/15/1962,Underground,Hognose,8,0
usa,3/28/1962,Underground,Hoosic,3,0
usa,3/31/1962,Underground,Chinchilla II,2,0
usa,4/5/1962,Underground,Dormouse Prime,11,0
usa,4/6/1962,Underground,Passaic,9,0
usa,4/12/1962,Underground,Hudson,1,0
usa,4/14/1962,Underground,Platte,2,0
usa,4/21/1962,Underground,Dead,3,0
usa,4/25/1962,Atmospheric,Adobe,190,0
usa,4/27/1962,Atmospheric,Aztec,410,0
usa,4/27/1962,Underground,Black,5,0
usa,5/2/1962,Atmospheric,Arkansas,1090,0
usa,5/4/1962,Atmospheric,Questa,670,0
usa,5/6/1962,Atmospheric,Frigate Bird,600,0
usa,5/7/1962,Underground,Paca,8,0
usa,5/8/1962,Atmospheric,Yukon,100,0
usa,5/9/1962,Atmospheric,Mesilla,100,0
usa,5/10/1962,Underground,Arikaree,0,0
usa,5/11/1962,Atmospheric,Muskegon,50,0
usa,5/11/1962,Underwater,Swordfish,0,0
usa,5/12/1962,Atmospheric,Encino,500,0
usa,5/12/1962,Underground,Aardvark,40,0
usa,5/14/1962,Atmospheric,Swanee,97,0
usa,5/19/1962,Underground,Eel,5,0
