country,type,weekday,year,month,day,date,localtime,date-localtime,timeofday,ISO8601Time
usa,Atmospheric,Friday,1955,2,18,2/18/1955,11:59:59,2/18/1955 11:59:59,Morning,1955-02-18
ussr,Atmospheric,Sunday,1955,2,20,2/20/1955,3:00:00,2/20/1955 3:00:00,Night,1955-02-20
usa,Atmospheric,Tuesday,1955,2,22,2/22/1955,5:45:00,2/22/1955 5:45:00,Night,1955-02-22
usa,Atmospheric,Tuesday,1955,3,1,3/1/1955,5:30:00,3/1/1955 5:30:00,Night,1955-03-01
usa,Atmospheric,Monday,1955,3,7,3/7/1955,5:20:00,3/7/1955 5:20:00,Night,1955-03-07
usa,Atmospheric,Saturday,1955,3,12,3/12/1955,5:20:00,3/12/1955 5:20:00,Night,1955-03-12
usa,Atmospheric,Tuesday,1955,3,22,3/22/1955,5:05:00,3/22/1955 5:05:00,Night,1955-03-22
usa,Crater,Wednesday,1955,3,23,3/23/1955,12:30:00,3/23/1955 12:30:00,Afternoon,1955-03-23
usa,Atmospheric,Tuesday,1955,3,29,3/29/1955,4:55:00,3/29/1955 4:55:00,Night,1955-03-29
usa,Atmospheric,Tuesday,1955,3,29,3/29/1955,9:59:55,3/29/1955 9:59:55,Morning,1955-03-29
usa,Atmospheric,Wednesday,1955,4,6,4/6/1955,10:00:04,4/6/1955 10:00:04,Morning,1955-04-06
usa,Atmospheric,Saturday,1955,4,9,4/9/1955,4:30:00,4/9/1955 4:30:00,Night,1955-04-09
usa,Atmospheric,Friday,1955,4,15,4/15/1955,11:15:00,4/15/1955 11:15:00,Morning,1955-04-15
usa,Atmospheric,Thursday,1955,5,5,5/5/1955,5:10:00,5/5/1955 5:10:00,Night,1955-05-05
usa,Underwater,Saturday,1955,5,14,5/14/1955,13:00:00,5/14/1955 13:00:00,Afternoon,1955-05-14
usa,Atmospheric,Sunday,1955,5,15,5/15/1955,5:00:00,5/15/1955 5:00:00,Night,1955-05-15
ussr,Atmospheric,Friday,1955,7,29,7/29/1955,5:00:00,7/29/1955 5:00:00,Night,1955-07-29
ussr,Atmospheric,Tuesday,1955,8,2,8/2/1955,6:00:00,8/2/1955 6:00:00,Morning,1955-08-02
ussr,Atmospheric,Friday,1955,8,5,8/5/1955,3:00:00,8/5/1955 3:00:00,Night,1955-08-05
ussr,Atmospheric,Wednesday,1955,9,21,9/21/1955,3:00:00,9/21/1955 3:00:00,Night,1955-09-21
ussr,Underwater,Wednesday,1955,9,21,9/21/1955,3:00:00,9/21/1955 3:00:00,Night,1955-09-21
usa,Atmospheric,Tuesday,1955,11,1,11/1/1955,14:10:00,11/1/1955 14:10:00,Afternoon,1955-11-01
usa,Atmospheric,Thursday,1955,11,3,11/3/1955,13:15:00,11/3/1955 13:15:00,Afternoon,1955-11-03
usa,Atmospheric,Saturday,1955,11,5,11/5/1955,11:55:00,11/5/1955 11:55:00,Morning,1955-11-05
ussr,Atmospheric,Sunday,1955,11,6,11/6/1955,7:50:00,11/6/1955 7:50:00,Morning,1955-11-06
ussr,Atmospheric,Tuesday,1955,11,22,11/22/1955,3:00:00,11/22/1955 3:00:00,Night,1955-11-22
usa,Atmospheric,Wednesday,1956,1,18,1/18/1956,13:30:00,1/18/1956 13:30:00,Afternoon,1956-01-18
ussr,Atmospheric,Thursday,1956,2,2,2/2/1956,3:00:00,2/2/1956 3:00:00,Night,1956-02-02
ussr,Atmospheric,Friday,1956,3,16,3/16/1956,8:00:00,3/16/1956 8:00:00,Morning,1956-03-16
ussr,Atmospheric,Sunday,1956,3,25,3/25/1956,3:00:00,3/25/1956 3:00:00,Night,1956-03-25
